client_id,power,bandwidth,compute_time,server_0,server_1,server_2,server_3,server_4,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
32,21.3,2.08,5.81,64.19,102.06,270.04,299.73,225.98,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2
33,38.98,4.04,4.98,174.95,294.07,434.17,365.16,228.64,600.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
34,39.31,9.49,2.03,359.51,461.7,620.77,563.67,424.85,600.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0
35,36.17,3.91,7.25,277.03,384.55,431.76,253.47,145.56,600.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0
36,26.09,5.67,2.88,416.08,292.01,227.43,439.43,498.79,600.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2
37,21.95,7.33,0.34,312.2,300.03,468.62,550.21,472.29,600.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0
38,33.68,4.27,6.49,382.78,437.57,388.47,179.8,225.55,600.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
39,28.8,9.75,1.85,615.96,531.57,357.47,463.34,595.8,600.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
40,22.44,9.66,9.41,396.94,360.72,514.35,623.77,558.97,600.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
41,29.9,3.27,9.54,384.05,338.56,177.18,193.47,330.59,600.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0
42,20.69,5.48,9.16,221.09,278.26,453.54,467.66,358.55,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2
43,38.19,3.71,3.76,185.64,311.04,426.96,324.05,181.76,600.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
44,25.18,3.56,0.25,296.14,170.74,180.18,373.14,401.04,600.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0
45,33.25,1.33,9.29,205.13,232.74,202.35,42.87,110.94,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2
46,26.23,6.49,4.34,449.9,326.17,252.45,464.19,529.04,600.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
47,30.4,5.52,9.67,488.0,451.26,289.97,267.88,410.66,600.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2
48,30.93,1.46,9.64,245.61,233.14,144.93,69.04,185.76,600.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
49,23.7,3.51,8.54,233.91,129.33,249.32,392.78,375.48,600.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0
50,39.39,9.17,3.02,349.32,449.68,610.16,557.32,419.5,600.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2
51,35.5,3.16,3.91,268.87,360.83,382.8,191.51,112.97,600.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0
52,38.79,2.3,8.53,91.53,216.91,338.07,267.67,139.54,600.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2
53,37.9,5.41,3.24,266.23,391.61,504.14,383.41,241.62,600.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0
54,31.96,9.87,1.78,614.83,623.56,497.48,367.34,481.89,600.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2
55,38.44,3.18,5.61,151.16,276.49,396.75,306.82,167.34,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2
56,21.77,7.05,9.37,297.99,295.73,467.63,539.46,456.41,600.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0
57,23.92,7.85,6.99,401.71,303.29,391.92,561.95,549.07,600.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0
58,20.9,3.14,5.74,116.41,171.91,344.45,364.18,269.92,600.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
59,26.51,7.55,1.06,494.18,371.79,281.39,490.3,564.81,600.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0
60,27.77,4.31,6.19,409.6,311.14,149.55,327.09,430.04,600.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2
61,25.43,6.69,9.9,426.95,302.14,287.13,494.49,533.43,600.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
62,36.57,6.7,1.49,364.47,483.13,549.35,374.89,260.94,600.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2
63,27.14,5.82,5.23,454.69,341.5,211.73,409.79,500.13,600.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0
64,25.62,1.81,8.79,212.69,102.71,86.23,253.84,287.82,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
65,30.85,8.52,7.43,588.67,563.18,406.51,351.91,490.84,600.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
66,22.82,3.89,7.0,214.3,149.54,306.28,416.58,371.69,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2
67,36.04,2.68,7.05,223.63,322.26,362.79,190.68,77.59,600.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2
68,21.49,1.37,3.66,55.99,75.17,208.67,230.57,179.39,600.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
69,39.74,6.32,3.01,253.2,347.49,511.35,477.25,346.93,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2
70,35.44,7.1,8.11,424.34,525.53,545.24,341.55,278.34,600.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2
71,23.97,1.15,8.12,123.93,74.94,137.87,194.23,192.7,600.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0
72,20.11,5.61,8.68,224.33,306.92,475.84,460.71,338.54,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2
73,36.31,3.04,9.14,231.21,336.93,387.54,219.57,99.55,600.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0
74,34.14,6.81,5.16,464.22,534.87,499.06,288.38,302.06,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
75,34.58,2.57,5.07,269.96,338.92,329.01,124.36,109.79,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2
76,35.43,7.22,8.0,428.97,529.92,548.81,344.66,282.65,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2
77,21.48,4.48,6.53,194.17,209.67,386.55,438.02,352.32,600.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2
78,27.17,9.43,7.05,570.82,454.52,329.28,521.55,617.41,600.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2
79,22.32,2.24,7.98,113.57,69.29,246.36,318.46,267.66,600.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
80,37.26,4.07,8.91,238.22,360.14,447.3,305.4,167.81,600.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0
81,32.47,2.02,3.45,283.99,302.52,230.28,36.15,170.89,600.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
82,26.62,9.32,3.82,550.51,428.18,332.81,538.92,618.47,600.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0
83,21.27,8.9,1.03,344.34,367.8,543.69,591.96,492.34,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0
84,26.22,3.32,5.82,320.9,202.09,124.08,334.72,392.63,600.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
85,26.5,6.94,0.46,474.28,352.25,261.25,470.62,544.35,600.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
86,34.59,8.35,4.71,496.45,580.22,562.63,350.59,336.74,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0
87,32.75,6.0,5.47,476.19,507.75,417.63,239.13,330.15,600.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2
88,37.74,5.77,2.94,285.19,410.61,518.82,390.74,250.39,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2
89,29.44,3.18,5.95,376.85,320.42,151.31,208.45,339.15,600.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
90,22.39,1.84,0.4,96.71,44.3,219.31,285.8,241.38,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2
91,34.26,9.07,0.47,529.35,605.54,573.14,362.39,367.66,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
92,35.22,9.1,8.24,493.76,592.36,601.93,393.46,344.52,600.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0
93,31.23,6.7,3.67,526.67,513.14,369.5,283.79,419.33,600.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
94,35.42,4.05,1.36,313.3,407.63,426.46,228.46,159.74,600.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2
95,29.88,4.14,5.27,428.52,379.77,212.83,233.7,373.0,600.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2
96,30.45,7.53,7.72,559.42,522.45,358.37,334.49,476.79,600.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0
97,28.55,9.07,2.24,592.77,502.87,331.88,455.34,583.11,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
98,20.51,8.98,6.27,337.96,397.91,573.83,581.02,462.33,600.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2
99,22.16,8.02,0.94,340.08,317.34,480.74,573.76,501.33,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
